breadcrumb,title,description,address,monthly_rent,monthly_aconto,move_in_price,available_from,rental_period,Boligtype,Størrelse,Værelser,Etage,Møbleret,Delevenlig,Husdyr tilladt,Elevator,Seniorvenlig,Kun for studerende,Altan/terrasse,Parkering,Opvaskemaskine,Vaskemaskine,Ladestander,Tørretumbler,Lejeperiode,Ledig fra,Månedlig leje,Aconto,Depositum,Forudbetalt husleje,Indflytningspris,Oprettelsesdato,Sagsnr.,energy_mark_src,Energimærke 
Hjem > Lejligheder > København > 5 værelses > Kongens Lyngby > Hjem > Lejligheder > København > 5 værelses > Kongens Lyngby,"Flot, charmerende og stort lejemål i landsbystemning","Velkommen til Ved Smedebakken.,

Boligen byder på stueplan samt en kælderetage. Super lækkert område med massere af landsbyidyl.

Ideelt til familien. 

Vi har desværre ingen plantegning, men vi tilbyder hellere end gerne en fremvisning. 

OBS: Hvis man er i RKI kan man ikke leje boligen.","13. august, Ved Smedebakken, 2800 København, Kongens Lyngby  - Stuen",17.844 kr.,1800 kr.,91.020 kr.,Snarest muligt,91.020 kr.,Lejlighed,161 m²,5.0,Stuen,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,17.844 kr.,1.800 kr.,53.532 kr.,17.844 kr.,91.020 kr.,13.8.2024,5442185,/static/images/energy_labels/E_str2.png,
Hjem > Lejligheder > København > 4 værelses > Kongens Lyngby > Hjem > Lejligheder > København > 4 værelses > Kongens Lyngby,Rummelig 4 værelses på god adresse i Kgs. Lyngby,"Fin lejlighed med altan og max udlejningsperiode i 36mdr. Indflytning fra 1. november. 

God rumfordeling og udnyttelse af m2. med tre fine soveværelser. Kort afstand til stort set alt. Lyngby Sø ligger ca 1 km fra ejendommen. Nem kørsel til og fra København.","13. august, Hollandsvej, 2800 København, Kongens Lyngby  - 1. sal",15.800 kr.,0 kr.,79.000 kr.,1. november 2024,79.000 kr.,Lejlighed,110 m²,4.0,1.,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,24+ måneder,1. november 2024,15.800 kr.,0 kr.,47.400 kr.,15.800 kr.,79.000 kr.,13.8.2024,5451347,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 1 værelses > København N > Hjem > Lejligheder > København > 1 værelses > København N,Climate friendly appartment on Nørrebro - 3 min walk from Metro,"Perfect for the young couple! 
Unfurnished apartment.

Unique opportunity to live in newly constructed bright youth housing on the roof of former industrial building.
The modern accommodation consists of an open kitchen / living room with a fantastic light and a spacious bathroom. The appartment contain a loft with the option of either sleeping space or office, as well as a storage room. Also there is a storage room as seen in the pictures. 

The appartments are particularly suitable for a couple or alone. 

Climate-friendly housing

The homes are built within our climate-friendly strategy.
They are insulated to modern standards and are equipped with a green sedum roof, where solar cells are installed, making the building self-sufficient with electricity.
In addition, there have been investments in intelligent meter solutions from NorthQ, which through data should help tenants to reduce consumption.

Unique community on the roof

The homes contain various common facilities, which are the foundation of a unique community. There is a communal laundry, a large roof terrace and a common living room with shared kitchen, where there is great opportunity to meet and talk with the other young people.

Multicultural area in development

Heimdalsgade is located on outer Nørrebro. The area is rapidly developing, among other things. Due to the opening of Cityringen, where both Nørrebro Station and Skjolds Plads Station are within a few minutes walk.
The property is close to shopping and fitness, as is a great cafe life in the area. You get the open green area Superkilen and the Black Square in the backyard.
Large educational places such as KU, CBS and Metropol are within cycling distance.","13. august, Heimdalsgade, 2200 København, København N  - 2. sal",9.828 kr.,950 kr.,50.090 kr.,1. oktober 2024,50.090 kr.,Lejlighed,48 m²,1.0,2.,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,1. oktober 2024,9.828 kr.,950 kr.,29.484 kr.,9.828 kr.,50.090 kr.,13.8.2024,4978211,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 1 værelses > København S > Hjem > Lejligheder > København > 1 værelses > København S,1-værelses studiebolig!,"Velkommen til Midgaard!
English Below!
MIDGAARD er et moderne bofællesskab i Ørestaden med 206 lækre studios med eget køkken og bad. Boligerne byder på et lille kompakt køkken med det, du typisk bruger i hverdagen: kogeplade, emhætte og et køleskab med fryseboks. Lejlighederne er indrettet med integrerede skabe.
Ejendommen byder på fede fællesfaciliteter; bl.a. fælleskøkken, fællesvaskeri og en stor fantastisk tagterrasse med udsigt til Fælleden.
MIDGAARD ligger på Else Alfelts Vej ud til Promenaden langs Fælleden, som er forbeholdt gående og cykler. Byens Hus, der skal være fælleshus med mange faciliteter for hele området, ligger lige ved siden af. Nærmeste indkøb og Metro station ligger 500 meter fra ejendommen.
Du bor altså bynært, og alligevel kan du nyde udsigten over den frie natur fra den skønne fælles tagterrasse. Du kan smutte på café, eller du kan tage en løbetur i grønne omgivelser. Og hvis det bliver for varmt, er du ikke langt fra en svalende dukkert ved Amager Strand.
Det med småt:
- Der er studiepligt i alle boliger
- Det er ikke tilladt at stå i RKI
- Bemærk, at billedmaterialet ikke nødvendigvis stammer fra den pågældende bolig
MIDGAARD ​​is a co-living community in Ørestaden, Copenhagen with 206 studio apartments, where you get your own kitchen and bathroom. The apartments offer a small compact kitchen with included kitchen essentials incl. stove, extractor hood and a small fridge with freezer compartment. The apartments are not furnished but do have integrated closets for clothes and storage.
The property offers great communal facilities. Among other things; common kitchen, laundry room and a very big rooftop terrace with a fantastic view of Fælleden.
MIDGAARD ​​is located on Else Alfelts Vej next to the Promenade along Fælleden, which is reserved for pedestrians and cyclists. “Byens Hus”, which is to be a community center with many facilities for the whole area, is right next door. The nearest supermarket and Metro station is 500 meters from the property.
In MIDGAARD you live close to the city, and yet you can enjoy the nature from the rooftop terrace and in the nearby area. You can go to the local cafés, or you can go for a run in green surroundings.
The fine print:
- You are required to be enrolled to a school or university to live in the apartment.
- You are not allowed to be registered in RKI
- Please note that the image material does not necessarily originate from the residence in question","13. august, Else Alfelts Vej, 2300 København, København S  - Stuen",6.400 kr.,400 kr.,32.400 kr.,30. november 2024,32.400 kr.,Lejlighed,32 m²,1.0,Stuen,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ubegrænset,30. november 2024,6.400 kr.,400 kr.,19.200 kr.,6.400 kr.,32.400 kr.,13.8.2024,5451343,none,-
Hjem > Værelser > København > 1 værelses > København Ø > Hjem > Værelser > København > 1 værelses > København Ø,Co-living in 325 m2,"The apartment is located on the top floor with a breathtaking view over Copenhagen. 

It has a total of seven rooms: one couples room and six single rooms. It has a total of three bathrooms (two with showers), making it very convenient to share. The uniqueness of this apartment is the enormous open area that connects the kitchen, dining area, and living room. This makes it a very social space, where people making food and talk with people sitting in the living or enjoying the chill out corner. Right next to the kitchen is a small balcony, big enough for two people to sit and enjoy their morning coffee with the perfect view.

Price includes beautiful nordic design interior and quality appliances, 3x weekly cleaning, basic supplies, quality linen and towels supplied and changed for you every 2 weeks.","13. august, Oslo Plads, 2100 København, København Ø  - 4. sal",9.000 kr.,0 kr.,28.000 kr.,Snarest muligt,28.000 kr.,Værelse,11 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,9.000 kr.,0 kr.,10.000 kr.,9.000 kr.,28.000 kr.,13.8.2024,4186824,none,-
Hjem > Værelser > København > 1 værelses > København Ø > Hjem > Værelser > København > 1 værelses > København Ø,Co-living room in 325 m2 apartment,"This formal apartment complex is from 1901. The apartment is located on the top floor with a breath-taking view over Copenhagen. It has a total of seven rooms: one couples room and six single rooms. It has a total of three bathrooms (two with showers), making it very convenient to share. The uniqueness of this apartment is the enormous open area that connects the kitchen, dining area, and living room. This makes it a very social space, where people making food and talk with people sitting in the living or enjoying the chill out corner. Right next to the kitchen is a small balcony, big enough for two people to sit and enjoy their morning coffee with the perfect view.

Price includes beautiful nordic design interior and quality appliances, 3x weekly cleaning, basic supplies, quality linen and towels supplied and changed for you every 2 weeks.","13. august, Oslo Plads, 2100 København, København Ø  - 4. sal",9.500 kr.,0 kr.,19.500 kr.,Snarest muligt,19.500 kr.,Værelse,11 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,9.500 kr.,0 kr.,10.000 kr.,0 kr.,19.500 kr.,13.8.2024,4080141,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Amazing space in Co-living,"This wonderful apartment is two stories and is on the top floor of the building. The apartment also has a great rooftop terrace. There are a total of five rooms: one couples room and four single rooms. 

There is a cozy living room on the first floor for hangouts and chats as well as a tv room on the second floor for movie nights. The dining room is combined with the living room, with a French balcony the lightens up the space. 

Live in a beautiful, fully furnished apartment together with awesome people from all over the world. The apartment is operated by co-living apartments company. 

The price includes everything: 3 times weekly cleaning, shared common supplies, internet, towels & linens and beautiful Hay furnishing. Everything is ready for you to just move in with your suitcase and stay as long as you wish. 

There are two bathrooms with showers on the first floor. The kitchen is big and spacious with lots of natural light coming in, making it an ideal place for cooking big shared dinners. The uniqueness of this apartment is the terrace on the second floor, which is big enough for having dinners and brunchs for all the housemates, while admiring a beautiful view of Copenhagen.","13. august, Vester Voldgade, 1552 København, København V  - 5. sal",10.000 kr.,0 kr.,30.000 kr.,Snarest muligt,30.000 kr.,Værelse,20 m²,1.0,5.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,10.000 kr.,0 kr.,10.000 kr.,10.000 kr.,30.000 kr.,13.8.2024,4206752,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Beautiful couples room by park in city centre,"This is a beautiful, stylish fully furnished co-living home in the center of Copenhagen, with Nordic design interior and quality appliances. You get a private room (available also for couples) and space in a big fancy apartment in an awesome location. Plus also 3x weekly cleaning, basic supplies included, and quality linen and towels supplied and changed for you every 2 weeks. 

The uniqueness of this apartment is the large and spacious living room and dining room that are connected at the center of the apartment. This gives it the perfect hangout area, for movie nights, house dinners, game nights or just casual reading. There are two big bathrooms at each end of the apartment. The hallway leads to an open kitchen where there is lots of room for multiple people to make food simultaneously.","13. august, Vester Voldgade, 1552 København, København V  - 4. sal",11.000 kr.,0 kr.,32.000 kr.,Snarest muligt,32.000 kr.,Værelse,18 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,11.000 kr.,0 kr.,10.000 kr.,11.000 kr.,32.000 kr.,13.8.2024,4200538,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Beautiful and furnished room for individual or couple in co-living apartment,"Live in a beautiful, fully furnished and serviced co-living apartment, together with awesome young professionals from all over the world. 

City Hall is centrally located and boasts a total of six rooms (two couples rooms and four single rooms), a large kitchen big enough to include a dining space and a massive stove, two full bathrooms featuring either a shower or soaking tub, a laundry room, an elegant dining space with floor to ceiling shelves and a living room that’s optimal for hosting events. In fact, a lot of LifeX events have been hosted here simply because the apartment’s flow allows for both privacy and togetherness. Just like how the City Hall is the heart of a city, this beautiful apartment lives up to its name as the heart of LifeX.

The price includes everything: 3 times weekly cleaning, shared common supplies, internet, towels & linens and beautiful Hay furnishing. Everything is ready for you to just move in with your suitcase and stay as long as you wish.","13. august, Vester Voldgade, 1552 København, København V  - 2. sal",13.000 kr.,0 kr.,36.000 kr.,Snarest muligt,36.000 kr.,Værelse,26 m²,1.0,2.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,13.000 kr.,0 kr.,10.000 kr.,13.000 kr.,36.000 kr.,13.8.2024,4368424,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Unique and furnished room in co-living apartment,"Live in a beautiful, fully furnished and serviced co-living apartment, together with awesome young professionals from all over the world. 

This wonderful apartment is two stories and is on the top floor of the building. The apartment also has a great rooftop terrace. There is a cozy living room on the first floor as well as a tv room on the second floor. The dining room is combined with the living room, with a French balcony the lightens up the space. There are two bathrooms with showers on the first floor. The kitchen is big and spacious with lots of natural light coming in.The uniqueness of this apartment is the terrace on the second floor, which is big enough for having dinners and brunches for all the housemates, while admiring a beautiful view of Copenhagen. There are a total of five rooms: one couples room and four single rooms. 

The price includes everything: 3 times weekly cleaning, shared common supplies, internet, towels & linens and beautiful Hay furnishing. Everything is ready for you to just move in with your suitcase and stay as long as you wish.","13. august, Vester Voldgade, 1552 København, København V  - 5. sal",9.500 kr.,0 kr.,29.000 kr.,Snarest muligt,29.000 kr.,Værelse,14 m²,1.0,5.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,9.500 kr.,0 kr.,10.000 kr.,9.500 kr.,29.000 kr.,13.8.2024,4310764,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Beautiful room by the park in the city centre,"This is a beautiful, stylish fully furnished co-living home in the center of Copenhagen, with Nordic design interior and quality appliances. You get a private room and space in a big fancy apartment in an awesome location. Plus also 3x weekly cleaning, basic supplies included, and quality linen and towels supplied and changed for you every 2 weeks. 

The uniqueness of this apartment is the large and spacious living room and dining room that are connected at the center of the apartment. This gives it the perfect hangout area, for movie nights, house dinners, game nights or just casual reading. There are two big bathrooms at each end of the apartment. The hallway leads to an open kitchen where there is lots of room for multiple people to make food simultaneously.","13. august, Vester Voldgade, 1552 København, København V  - 4. sal",8.500 kr.,0 kr.,27.000 kr.,Snarest muligt,27.000 kr.,Værelse,11 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,8.500 kr.,0 kr.,10.000 kr.,8.500 kr.,27.000 kr.,13.8.2024,4403415,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Beautifully furnished private room in amazing shared apartment🏠 (also for couples),"*** Furnished room with CPR ***

Become part of a vibrant community of young professionals and live stress-free in a spacious shared apartment! 💆

We have a beautiful private room for singles or couples available in our fully furnished and serviced co-living apartment called ‘Square’.

🏰The apartment:

This lovely home is located on the 4th floor (there is an elevator). There are 4 single bedrooms and 2 couples room, a big kitchen, dining area, living room and 2 bathrooms. The unique feature of this apartment is the big and bright living room with attached dining room.

🛌The room:

The room is fully furnished with beautiful Nordic design. It includes everything you need for comfortable living: a big bed of 140X200 (including duvets, pillows and bed linen), a desk with a chair, a big closet (with hangers and shelves), storage units under the bed, laundry basket, lamps, plants and other decorations. 

🗺️The location:

The apartment is located in the city centre of Copenhagen within walking distance from Central Station, around the corner of the shopping area and next to a beautiful park. 

📜Our prices are all inclusive and give you:

- rent, water, electricity
- high speed internet
- beautiful design furniture 
- 3 times per week cleaning
- biweekly linen change 
- shared common supplies (toiletpaper, soap, cooking oil etc.) 

So everything is ready for you to just move in with your suitcase and stay as long as you wish.

The room is perfect for an individual or a couple who wants to live stress-free in a nice and clean furnished home with like minded people and have flexible rental terms. The contract renews automatically every month and you can stay as long as you want. 

We hold an interview by phone or video call with each applicant, ensuring compatibility with our concept and mutual respect for each other.

🌍 As a member you get access to a wider community of young professionals that live in our apartments in Copenhagen and in other cities (Berlin, Munich, Vienna, Paris, London etc.). Community members enjoy shared events and even the possibility of a temporary room swap with members in other cities.

We look forward to meeting you!","13. august, Vester Voldgade, 1552 København, København V  - 4. sal",12.000 kr.,0 kr.,34.000 kr.,Snarest muligt,34.000 kr.,Værelse,22 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,12.000 kr.,0 kr.,10.000 kr.,12.000 kr.,34.000 kr.,13.8.2024,4415427,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Furnished private room in shared apartment with CPR (for single or couple),"*** Beautiful room with CPR registration***

Become part of a vibrant community of young professionals and live stress-free in a spacious shared apartment! 💆

We have a beautiful and brightly-lit private room available in our fully furnished and serviced co-living apartment called ‘Blox’.

🏰The apartment:

This lovely home is located on the 3rd floor. There are in total 5 bedrooms. In the middle of the apartment is the central point for all flatmates. This big room has both the living room and dining room, making it the perfect place to gather people, socialize, and watch movies together after a great dinner. There are two bathrooms, both with showers right next to each other. The kitchen has a modern touch and is spacious enough for several people to prepare food simultaneously. The wonderful thing about this apartment is how close it is to the water, where it is possible to swim in the summertime and go for nice walks during the winter.

🛌The room:

The room (room 2 on the floor plan) is fully furnished with beautiful Nordic designed items. It includes everything you need for comfortable living: a big bed of 180X200 (including duvets, pillows, and bed linen), a desk with a chair, a big closet (with hangers and shelves), storage units under the bed, a laundry basket, lamps, plants, and other decorations. The room is suitable for single occupancy only.

🗺️The location:

Blox is located near the Danish Architecture Center, almost a jump away from the harbor 🏊‍♀️ In this classical apartment, you will live near several iconic places in Copenhagen like thee fabulous Glyptoteket museum and the Tivoli theme park. In summer it will only be a few steps away from the Islands Brygge harbor bath, where you can relax in the sun and go for refreshing dive. 

📜Our prices are all-inclusive and give you:

- rent, water, electricity
- high-speed internet
- beautiful design furniture
- 2 times per week cleaning
- biweekly linen change
- shared common supplies (toilet paper, soap, cooking oil, etc.)

So everything is ready for you to just move in with your suitcase and stay as long as you wish.

The room is perfect for an individual who wants to live stress-free in a nice and clean furnished home with like-minded people and have flexible rental terms. The contract renews automatically every month and you can stay as long as you want.

We hold an interview by phone or video call with each applicant, ensuring compatibility with our concept and mutual respect for each other.

🌍 As a member, you get access to a wider community of young professionals that live in our apartments in Copenhagen and in other cities (Berlin, Munich, Vienna, Paris, London, etc.). Community members enjoy shared events and even the possibility of a temporary room swap with members in other cities.

We look forward to meeting you!","13. august, Vester Voldgade, 1552 København, København V  - 3. sal",10.900 kr.,0 kr.,31.800 kr.,Snarest muligt,31.800 kr.,Værelse,23 m²,1.0,3.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,10.900 kr.,0 kr.,10.000 kr.,10.900 kr.,31.800 kr.,13.8.2024,4943543,none,-
Hjem > Værelser > København > 1 værelses > København V > Hjem > Værelser > København > 1 værelses > København V,Beautiful room in co-living apartment in the centre,"This is a beautiful, stylish fully furnished co-living home in the middle of the centre of Copenhagen, with Nordic design interior and quality appliances. 

You get a private room in a big fancy apartment in an awesome location. Plus also 3x weekly cleaning, basic supplies included, and quality linen and towels supplied and changed for you every 2 weeks. 

The apartment is on the fourth floor. It contains of  bedrooms and 2 bathrooms, a large centralized living room, a cosy open kitchen and dining space, and two of the most exquisite bathrooms you’ll ever have the pleasure to bathe in.","13. august, Vester Voldgade, 1552 København, København V  - 4. sal",13.000 kr.,0 kr.,36.000 kr.,Snarest muligt,36.000 kr.,Værelse,35 m²,1.0,4.,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,13.000 kr.,0 kr.,10.000 kr.,13.000 kr.,36.000 kr.,13.8.2024,4400860,none,-
Hjem > Lejligheder > København > 1 værelses > København V > Hjem > Lejligheder > København > 1 værelses > København V,KLASSISK DESIGN MED FOKUS PÅ ÆSTETIK OG FUNKTIONALITET,"Lejlighederne er designet med fleksibilitet in mente. Møblerne er designet med flere funktioner, hvilket gør det nemt at skifte fra stue til soveværelse eller arbejdsområde til spisestue. Det er smart living, men stadig fuld af muligheder. Alle lejlighederne har et nordisk designkøkken lavet i samarbejde med det kendte, danske køkkenfirma Reform. Interiøret er specialdesignet af arkitekten, og rummer innovative løsninger, der optimerer hverdagslivet.","13. august, Dybbølsbro, 1577 København, København V  - 18. sal",10.200 kr.,798 kr.,31.398 kr.,15. oktober 2024,31.398 kr.,Lejlighed,33 m²,1.0,18.,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ubegrænset,15. oktober 2024,10.200 kr.,798 kr.,20.400 kr.,0 kr.,31.398 kr.,13.8.2024,5386374,/static/images/energy_labels/A15_str2.png,
Hjem > Lejligheder > København > 1 værelses > København V > Hjem > Lejligheder > København > 1 værelses > København V,KLASSISK DESIGN MED FOKUS PÅ ÆSTETIK OG FUNKTIONALITET,"Lejlighederne er designet med fleksibilitet in mente. Møblerne er designet med flere funktioner, hvilket gør det nemt at skifte fra stue til soveværelse eller arbejdsområde til spisestue. Det er smart living, men stadig fuld af muligheder. Alle lejlighederne har et nordisk designkøkken lavet i samarbejde med det kendte, danske køkkenfirma Reform. Interiøret er specialdesignet af arkitekten, og rummer innovative løsninger, der optimerer hverdagslivet.","13. august, Dybbølsbro, 1577 København, København V  - 23. sal",11.500 kr.,798 kr.,35.298 kr.,1. oktober 2024,35.298 kr.,Lejlighed,33 m²,1.0,23.,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ubegrænset,1. oktober 2024,11.500 kr.,798 kr.,23.000 kr.,0 kr.,35.298 kr.,13.8.2024,5451332,/static/images/energy_labels/A15_str2.png,
Hjem > Lejligheder > København > 1 værelses > København V > Hjem > Lejligheder > København > 1 værelses > København V,KLASSISK DESIGN MED FOKUS PÅ ÆSTETIK OG FUNKTIONALITET,"Lejlighederne er designet med fleksibilitet in mente. Møblerne er designet med flere funktioner, hvilket gør det nemt at skifte fra stue til soveværelse eller arbejdsområde til spisestue. Det er smart living, men stadig fuld af muligheder. Alle lejlighederne har et nordisk designkøkken lavet i samarbejde med det kendte, danske køkkenfirma Reform. Interiøret er specialdesignet af arkitekten, og rummer innovative løsninger, der optimerer hverdagslivet.","13. august, Dybbølsbro, 1577 København, København V  - 20. sal",11.400 kr.,798 kr.,34.998 kr.,1. oktober 2024,34.998 kr.,Lejlighed,33 m²,1.0,20.,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ubegrænset,1. oktober 2024,11.400 kr.,798 kr.,22.800 kr.,0 kr.,34.998 kr.,13.8.2024,5451331,/static/images/energy_labels/A15_str2.png,
Hjem > Lejligheder > København > 3 værelses > Vedbæk > Gl Holte > Hjem > Lejligheder > København > 3 værelses > Vedbæk > Gl Holte,Velkommen til Magdalene Parken - eksklusive lejeboliger i Vedbæk!,"Velkommen til Magdalene Parken i hyggelige Vedbæk!
Her er der opført 63 smukke, æstetiske og bæredygtige boliger i naturskønne og historiske omgivelser, langs den smukke Kohave Skov, i udkanten af Vedbæk. Magdalene Parken er et hyggeligt boligområde som danner rammen om et indbydende og trygt nabolag, hvor hverdagen og livet leves på bedste vis.
Magdalene Parken består af fire eksisterende bevaringsværdige bygninger i den smukkeste nybarokke stil, som oprindeligt stod færdige i 1908. Et hovedhus, et anneks samt to portnerboliger. Dertil er der opført nye elegante rækkehuse samt boligejendomme med respekt og omtanke for område, miljø og kvalitet. Samlet 7.059 m2 boligareal, fordelt på 12 lejligheder i de to palæer, 2 portnerboliger, 7 rækkehuse og 42 nybyggede etagelejligheder, i alt 63 boliger.
Fælles for alle boligerne er, at de er opført med øje for eksklusivitet og kvalitet. Alt fra materialevalg, køkken til badeværelser med mere, er etableret i et tidsløst design. Her nydes det gode liv hjemme og i nærområdet, med rige muligheder for udfoldelse, sjov, fordybelse og hygge for alle aldre.
Ønsker man at bo i naturskønne omgivelser tæt på København og Øresund, med et enestående nærmiljø, historisk islæt og utallige muligheder, er Magdalene Parken i Vedbæk et oplagt valg.
*Husdyr med ansøgning
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.","13. august, Thoras Vænge, 2950 København, Vedbæk  - Stuen",16.300 kr.,900 kr.,82.400 kr.,31. oktober 2024,82.400 kr.,Lejlighed,95 m²,3.0,Stuen,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ubegrænset,31. oktober 2024,16.300 kr.,900 kr.,48.900 kr.,16.300 kr.,82.400 kr.,13.8.2024,5393474,/static/images/energy_labels/A10_str2.png,
Hjem > Lejligheder > København > 3 værelses > København S > Hjem > Lejligheder > København > 3 værelses > København S,Veludnyttet 3-værelses centralt i Bella Kvarter.,"Velkommen til Marthahus i Bellakvarter
Træd ind i denne rummelige 3-værelses bolig, hvor to fine værelser tilbyder komfortabel plads til privatliv. Køkkenalrummet danner hjertet af hjemmet, og altanen udvider oplevelsen med frisk luft og lys. En harmonisk kombination af rum og funktionalitet skaber det ideelle miljø for både afslapning og socialt samvær.
Det gode liv Boligerne er rummelige, møblerba­re og har massere lysindfald og luft. Alle boliger har egen altan, terrasse eller spansk altan, og visse lejligheder har også adgang til privat tagterrasse. Der er et fælles gårdareal mellem etape 1 og etape 2 med samspil mellem gade og gård. Materialerne er gedigne, lyse og imødekom­mende. Designet er minimalistisk og tidløst elegant. For at gøre hverdagen nemmere, er der allerede installeret hårde hvidevarer som bl.a. vaskemaskine, tørretumbler og opvaskemaskine.
Stort og åbent gårdrum Bygningen der udformes med karréstruktur, er trukket lidt tilbage fra det urbane byrum og udføres med facader der trækker spor tilbage til de klassiske københavnske ejendomme. Facaderne udføres i håndstrøgne teglsten i forskellige rødlige nuancer, der bliver lysere mod himlen og bidrager til at lyset ledes ned i byrummet. Gårdrummet er udformet med små oaser til ophold og leg, samt en offentlig passage fra øst til vest der markeres med en særlig belægning. Gårdrummet beplantes med træer og stauder i forskellige farver og højder. Altaner og terrasser skaber privathed, men også mulighed for social kon­takt på langs og tværs mellem boligerne.
Tæt på metro og indkøb Inden for få minutters gang fra boligerne har du adgang til Metro, indkøbsmuligheder, caféer & restauranter, Byparken og Ørestads Streethal, der byder på indendørs boldspil, klatring & leg og udendørs fitnesspark. Bellakvarter er kendt for Bella Center Copen­hagen, hvor der afholdes mange forskellige messer, som f.eks. kunst- og designmesse, og hvert år afholdes det meget populære LEGO World. Derudover findes også det ikoniske AC Hotel Bella Sky med restaurant på toppen og en storslået udsigt.
Husdyr: Kan ansøges
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende lejlighed, og at udsigt m.v. derfor kan variere.","13. august, Gertrude Steins Vej, 2300 København, København S  - Stuen",13.400 kr.,650 kr.,67.650 kr.,14. november 2024,67.650 kr.,Lejlighed,60 m²,3.0,Stuen,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ubegrænset,14. november 2024,13.400 kr.,650 kr.,40.200 kr.,13.400 kr.,67.650 kr.,13.8.2024,5386680,none,-
